CASE_ID,EVENT_ID,ACTIVITY,START_TIMESTAMP,END_TIMESTAMP,RECURSO,AGENTE
00044a5f68c82574,0,START-DIALOGUE-SYTEM,2025-07-11 04:53:10.509884,2025-07-11 04:53:10.509884,,syst
00044a5f68c82574,1,CHATBOT INITIAL GREETING,2025-07-11 04:53:10.509884,2025-07-11 04:53:11.509884,,ai
00044a5f68c82574,2,FINALIZATION WITH COMPLAINT,2025-07-11 04:53:11.509884,2025-07-11 04:57:00.851884,,human
00044a5f68c82574,3,RESPONSE WITHOUT SOLUTION,2025-07-11 04:57:00.851884,2025-07-11 04:57:36.579581,cartoes_credito_outros_produtos,ai
00044a5f68c82574,4,FINALIZATION WITH COMPLAINT,2025-07-11 04:57:36.579581,2025-07-11 05:00:22.248272,,human
00044a5f68c82574,5,SOLUTION DELIVERY,2025-07-11 05:00:22.248272,2025-07-11 05:00:53.335591,cartoes_credito_outros_produtos,ai
00044a5f68c82574,6,FINALIZATION WITH COMPLAINT,2025-07-11 05:00:53.335591,2025-07-11 05:03:37.166683,,human
00044a5f68c82574,7,SOLUTION DELIVERY,2025-07-11 05:03:37.166683,2025-07-11 05:04:22.722576,cartoes_credito_outros_produtos,ai
00044a5f68c82574,8,SOLUTION REJECTION,2025-07-11 05:04:22.722576,2025-07-11 05:06:56.607380,,human
00044a5f68c82574,9,CONTEXT REAFFIRMATION,2025-07-11 05:06:56.607380,2025-07-11 05:07:39.875489,cartoes_credito_outros_produtos,ai
00044a5f68c82574,10,SPONTANEOUS THANK,2025-07-11 05:07:39.875489,2025-07-11 05:09:39.144912,,human
00044a5f68c82574,11,END-DIALOGUE-SYSTEM,2025-07-11 05:09:39.144912,2025-07-11 05:09:39.144912,,syst
005a0f2a331bb065,12,START-DIALOGUE-SYTEM,2025-07-26 05:03:24.424568,2025-07-26 05:03:24.424568,,syst
005a0f2a331bb065,13,CHATBOT INITIAL GREETING,2025-07-26 05:03:24.424568,2025-07-26 05:03:25.424568,,ai
005a0f2a331bb065,14,FRAUD REPORT,2025-07-26 05:03:25.424568,2025-07-26 05:04:49.925261,,human
005a0f2a331bb065,15,SOLUTION DELIVERY,2025-07-26 05:04:49.925261,2025-07-26 05:05:43.149173,cartoes_credito_outros_produtos,ai
005a0f2a331bb065,16,URGENCY WITH AGGRESSIVE LANGUAGE,2025-07-26 05:05:43.149173,2025-07-26 05:07:00.309135,,human
005a0f2a331bb065,17,SOLUTION DELIVERY,2025-07-26 05:07:00.309135,2025-07-26 05:07:40.309176,cartoes_credito_outros_produtos,ai
005a0f2a331bb065,18,URGENCY WITH AGGRESSIVE LANGUAGE,2025-07-26 05:07:40.309176,2025-07-26 05:09:06.479283,,human
005a0f2a331bb065,19,SOLUTION DELIVERY,2025-07-26 05:09:06.479283,2025-07-26 05:09:49.837216,cartoes_credito_outros_produtos,ai
005a0f2a331bb065,20,SOLUTION REJECTION,2025-07-26 05:09:49.837216,2025-07-26 05:10:55.613251,,human
005a0f2a331bb065,21,SOLUTION DELIVERY,2025-07-26 05:10:55.613251,2025-07-26 05:11:54.095139,cartoes_credito_outros_produtos,ai
005a0f2a331bb065,22,SOLUTION REJECTION,2025-07-26 05:11:54.095139,2025-07-26 05:12:57.430361,,human
005a0f2a331bb065,23,PROACTIVE CLARIFICATION,2025-07-26 05:12:57.430361,2025-07-26 05:14:02.521463,cartoes_credito_outros_produtos,ai
005a0f2a331bb065,24,FINALIZATION WITH COMPLAINT,2025-07-26 05:14:02.521463,2025-07-26 05:14:40.468179,,human
005a0f2a331bb065,25,END-DIALOGUE-SYSTEM,2025-07-26 05:14:40.468179,2025-07-26 05:14:40.468179,,syst
00c961eef72f6abb,26,START-DIALOGUE-SYTEM,2025-07-16 23:37:58.300363,2025-07-16 23:37:58.300363,,syst
00c961eef72f6abb,27,CHATBOT INITIAL GREETING,2025-07-16 23:37:58.300363,2025-07-16 23:37:59.300363,,ai
00c961eef72f6abb,28,FRAUD REPORT,2025-07-16 23:37:59.300363,2025-07-16 23:40:06.074354,,human
00c961eef72f6abb,29,PROACTIVE CLARIFICATION,2025-07-16 23:40:06.074354,2025-07-16 23:40:47.056310,cartoes_credito_outros_produtos,ai
00c961eef72f6abb,30,URGENCY WITH AGGRESSIVE LANGUAGE,2025-07-16 23:40:47.056310,2025-07-16 23:42:54.606981,,human
00c961eef72f6abb,31,SOLUTION DELIVERY,2025-07-16 23:42:54.606981,2025-07-16 23:43:31.942590,cartoes_credito_outros_produtos,ai
00c961eef72f6abb,32,URGENCY WITH AGGRESSIVE LANGUAGE,2025-07-16 23:43:31.942590,2025-07-16 23:45:34.415308,,human
00c961eef72f6abb,33,DATA RESPONSE,2025-07-16 23:45:34.415308,2025-07-16 23:46:10.142086,cartoes_credito_outros_produtos,ai
00c961eef72f6abb,34,URGENCY WITH AGGRESSIVE LANGUAGE,2025-07-16 23:46:10.142086,2025-07-16 23:48:00.894855,,human
00c961eef72f6abb,35,END-DIALOGUE-SYSTEM,2025-07-16 23:48:00.894855,2025-07-16 23:48:00.894855,,syst
00e56b3efb827f29,36,START-DIALOGUE-SYTEM,2025-07-04 12:28:00.787112,2025-07-04 12:28:00.787112,,syst
00e56b3efb827f29,37,CHATBOT INITIAL GREETING,2025-07-04 12:28:00.787112,2025-07-04 12:28:01.787112,,ai
00e56b3efb827f29,38,INTENT EXPANSION,2025-07-04 12:28:01.787112,2025-07-04 12:30:22.576747,,human
